Id,Acronym,Name,Color,ConferenceId,ConferenceName,DivisionId,DivisionName,StateId,StateName,City,Logo,History,Players,Seasons
1610612737,ATL,Atlanta Hawks,,1,Eastern Conference,5,Southeast,TX,Texas,Atlanta,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg,"The Atlanta Hawks are an American professional basketball team based in Atlanta. The Hawks compete in the National Basketball Association (NBA) as a member of the league's Eastern Conference Southeast Division. The team plays its home games at State Farm Arena.
The team's origins can be traced to the establishment of the Buffalo Bisons in 1946 in Buffalo, New York, a member of the National Basketball League (NBL) owned by Ben Kerner and Leo Ferris. After 38 days in Buffalo, the team moved to Moline, Illinois, where they were renamed the Tri-Cities Blackhawks. In 1949, they joined the NBA as part of the merger between the NBL and the Basketball Association of America (BAA), and briefly had Red Auerbach as coach. In 1951, Kerner moved the team to Milwaukee, where they changed their name to the Milwaukee Hawks. Kerner and the team moved again in 1955 to St. Louis, where they won their first (and thus far only) NBA Championship in 1958 and qualified to play in the NBA Finals in 1957, 1960 and 1961. The Hawks played the Boston Celtics in all four of their trips to the NBA Finals. The St. Louis Hawks moved to Atlanta on May 3, 1968, when Kerner sold the franchise to Thomas Cousins and former Georgia Governor Carl Sanders.
The Hawks currently own the second-longest drought (behind the Sacramento Kings) of not winning an NBA championship at 64 seasons. The franchise's lone NBA championship, as well as all four NBA Finals appearances, occurred when the team was based in St. Louis. Meanwhile, they went 48 years without advancing past the second round of the playoffs in any format, until finally breaking through in 2015. However, the Hawks are one of only four NBA teams that have qualified to play in the NBA playoffs in 10 consecutive seasons in the 21st century. They achieved this feat between 2008 and 2017.",0,0
1610610024,BAL,Baltimore Bullets,,1,Eastern Conference,5,Southeast,MD,Maryland,Baltimore,https://upload.wikimedia.org/wikipedia/en/9/9a/The_logo_of_the_original_Baltimore_Bullets_from_the_postwar_era.gif,"The Baltimore Bullets were a professional basketball team based in Baltimore. The Bullets competed in the American Basketball League (1944–1947), the Basketball Association of America (1947–1949), and (following the BAA's absorption of the National Basketball League) the National Basketball Association (1949–1954). On November 27, 1954, the team folded with a 3–11 record on the season,[1] making the Bullets the last NBA franchise to fold.[2] Out of all defunct NBA teams, the Bullets were members of the association for the longest time and the only defunct team to win a championship.[3]

The Bullets name was revived in 1963, when the former Chicago Zephyrs relocated to Baltimore; even after these Bullets relocated to Washington in 1973, they kept their name for 24 more years until they were renamed to the Wizards.",0,0
1610612764,BLT,Baltimore Bullets,,1,Eastern Conference,1,Atlantic,MD,Maryland,Baltimore ,https://upload.wikimedia.org/wikipedia/en/thumb/9/9a/The_logo_of_the_original_Baltimore_Bullets_from_the_postwar_era.gif/180px-The_logo_of_the_original_Baltimore_Bullets_from_the_postwar_era.gif,,0,0
1610612738,BOS,Boston Celtics,,1,Eastern Conference,1,Atlantic,MA,Massachusetts,Boston,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg,,0,0
1610612751,BKN,Brooklyn Nets,,1,Eastern Conference,1,Atlantic,NY,New York,Brooklyn,https://s.yimg.com/cv/apiv2/default/nba/20181129/500x500/nets3_wbg.png,"The Brooklyn Nets are an American professional basketball team based in the New York City borough of Brooklyn. The Nets compete in the National Basketball Association (NBA) as a member of the Atlantic Division of the Eastern Conference. The team plays its home games at Barclays Center. They are one of two NBA teams located in New York City; the other is the New York Knicks. The club was established in 1967 as a charter franchise of the NBA's rival league, the American Basketball Association (ABA). They played in New Jersey as the New Jersey Americans during their first season, before relocating to Long Island, New York, in 1968 and changing their name to the New York Nets. During this time, the Nets won two ABA championships (in 1974 and 1976). In 1976, the ABA merged with the NBA, and the Nets were absorbed into the NBA along with three other ABA teams (the San Antonio Spurs, Indiana Pacers, and Denver Nuggets), all of whom remain in the league to this day.",0,0
1,adswd,Bruh,,1,Eastern Conference,4,Pacific,OH,Ohio,Transilvania,https://pa1.aminoapps.com/6418/9b3ecfde90cebd9bc54fedec215f6892b4f2491d_hq.gif,Made by Perpetuo,0,0
1610612746,BUF,Buffalo Braves,,1,Eastern Conference,1,Atlantic,NY,New York,Buffalo,https://upload.wikimedia.org/wikipedia/en/5/59/Buffalo_Braves_logo.svg,"The Buffalo Braves were an American professional basketball franchise based in Buffalo, New York. The Braves competed in the National Basketball Association (NBA) as a member club of the league's Eastern Conference Atlantic Division from 1970 until 1978. In 1978, Braves owner John Y. Brown Jr. swapped franchises with then-Boston Celtics owner Irv Levin, who then moved the team to San Diego, where it was renamed the San Diego Clippers. The franchise moved to Los Angeles in 1984, and is now known as the Los Angeles Clippers.",0,0
1610612764,CAP,Capital Bullets,,1,Eastern Conference,2,Central,DC,District of Columbia,Washington,https://loodibee.com/wp-content/uploads/washington-bullets-1987-1997.png,"The 1973–74 Capital Bullets season was the team's first in Washington, D.C. area, southeast from nearby Baltimore. Prior to the 1973–74 season, the Baltimore Bullets relocated to Landover, Maryland, a suburb east of Washington, and became the Capital Bullets.[1] It was also their only season under the Capital Bullets name.

The Bullets finished with a 47–35 record and won the Central Division. Wes Unseld was limited to 56 games due to injuries. In the playoffs, the Bullets fell to the New York Knicks for the fifth time in six years, eliminated in seven games. Following the season, the team was renamed as the Washington Bullets.

The new Capital Centre opened on December 2, 1973; the Bullets played their earlier home games this season at Cole Field House at the University of Maryland in College Park. They played several home games at Cole during their last seasons in Baltimore.",0,0
1610612766,CHA,Charlotte Bobcats,,1,Eastern Conference,5,Southeast,NC,North Carolina,Charlotte,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQVf31CN8MCpmRltT6N-GXW0LsZtNZIAjKbI8UA-1wxgg&s,,0,0
1610612766,CHH,Charlotte Hornets,,1,Eastern Conference,5,Southeast,NC,North Carolina,Charlotte,https://upload.wikimedia.org/wikipedia/en/c/c4/Charlotte_Hornets_%282014%29.svg,,0,0
1610612741,CHI,Chicago Bulls,,1,Eastern Conference,2,Central,IL,Illinois,Chicago,https://upload.wikimedia.org/wikipedia/en/thumb/6/67/Chicago_Bulls_logo.svg/1200px-Chicago_Bulls_logo.svg.png,,0,0
1610612764,CHP,Chicago Packers,,2,Western Conference,2,Central,MI,Michigan,Chicago,,,0,0
1610612764,CHZ,Chicago Zephyrs,,2,Western Conference,2,Central,MI,Michigan,Chicago,,,0,0
1610612758,CIN,Cincinnati Royals,,2,Western Conference,,,OH,Ohio,Cincinnati,https://upload.wikimedia.org/wikipedia/en/a/ab/Cincinnati_Royals_logo.svg,,0,0
